timestamp_ms,ax,ay,az,gx,gy,gz,temp,pitch,roll
89241,-0.9602,-0.0454,-0.1621,-2.3969,1.1145,-0.7176,48.72,80.06,-164.35
89741,-0.9624,-0.0518,-0.1787,-3.2672,0.9237,1.8168,48.95,79.06,-163.85
90241,-0.9399,-0.0522,-0.1531,-4.5802,2.4885,0.7786,48.95,80.24,-161.15
90741,-0.9482,-0.0854,-0.1418,-1.2443,2.0840,-5.1221,48.86,80.09,-148.93
91241,-0.9653,-0.0613,-0.1697,-3.1069,0.7710,0.9924,48.62,79.41,-160.14
91741,-0.9529,-0.0627,-0.1711,-2.0076,0.8702,-4.1221,49.05,79.17,-159.87
92241,-0.9551,-0.0566,-0.1716,-2.3282,0.9847,-1.1985,48.86,79.28,-161.74
92741,-0.9646,-0.0522,-0.1638,-2.4733,1.3588,-0.6489,48.72,79.89,-162.31
93241,-0.9600,-0.0586,-0.1658,-2.1603,0.4962,-1.5496,48.72,79.62,-160.53
93741,-0.9348,-0.0430,-0.1758,-2.4122,1.1069,-1.5802,49.05,79.04,-166.26
94241,-0.9587,-0.0544,-0.1592,-2.7405,1.0153,-0.5649,48.81,80.05,-161.12
94741,-0.9492,-0.0588,-0.1704,-2.4427,0.6947,-0.8015,48.81,79.25,-160.95
95241,-0.9519,-0.0728,-0.1592,-2.5344,0.8931,-0.6718,48.81,79.58,-155.44
95741,-0.9460,-0.0583,-0.1687,-2.0916,0.7099,-2.3359,48.95,79.31,-160.92
96241,-0.9446,-0.0481,-0.1726,-2.4733,2.0916,-0.6336,48.72,79.26,-164.43
96741,-0.9575,-0.0476,-0.1592,-2.3817,0.8779,-0.9389,48.95,80.16,-163.35
97241,-0.9553,-0.0537,-0.1714,-2.4046,0.5878,-0.7939,49.14,79.35,-162.60
97741,-0.9495,-0.0601,-0.1685,-2.6336,1.3740,-0.8550,48.67,79.33,-160.38
98241,-0.9519,-0.0554,-0.1675,-2.5344,0.9389,-0.7099,48.95,79.50,-161.69
98741,-0.9509,-0.0466,-0.1672,-2.2290,0.9389,-1.4962,49.14,79.65,-164.42
99241,-0.9641,-0.0515,-0.1731,-1.5038,1.2748,-2.8550,49.00,79.39,-163.43
99741,-0.9592,-0.0334,-0.1755,-3.1603,1.4046,1.2977,48.86,79.45,-169.21
100241,-0.9478,-0.0525,-0.1670,-2.9771,0.6947,-0.4275,48.95,79.54,-162.55
100741,-0.9531,-0.0437,-0.1716,-2.4580,1.1527,-1.0916,48.72,79.47,-165.71
101241,-0.9709,-0.0400,-0.1614,-2.7634,0.7252,-2.2137,48.86,80.28,-166.07
101741,-0.9565,-0.0854,-0.1677,-2.3893,0.5344,-2.9237,48.72,78.87,-153.00
102241,-0.9617,-0.0728,-0.1658,-2.3817,0.7481,-1.7939,48.72,79.34,-156.30
102741,-0.9702,-0.0466,-0.1543,-2.6031,1.1298,0.8855,48.95,80.57,-163.18
103241,-0.9456,-0.0530,-0.1631,-2.6641,0.1679,1.3130,48.95,79.72,-162.00
103741,-0.9746,-0.0930,-0.1274,-2.6031,-2.8626,9.3740,48.72,80.80,-143.87
104241,-0.9583,-0.0161,-0.1589,-2.5038,1.3130,-0.6107,48.95,80.54,-174.21
104741,-0.9509,-0.0386,-0.1541,-3.3206,1.3969,2.8702,48.81,80.52,-165.94
105241,-0.9578,-0.0481,-0.1506,-2.6260,1.0687,-0.8168,48.95,80.63,-162.29
105741,-0.9502,-0.0361,-0.1624,-2.0916,1.1145,0.3359,48.86,80.07,-167.45
106241,-0.9333,-0.0579,-0.1663,-2.3740,1.3359,-1.2595,48.86,79.32,-160.81
106741,-0.9377,-0.0518,-0.1721,-2.4046,1.8321,-1.7099,48.72,79.15,-163.26
107241,-0.9565,-0.0496,-0.1697,-1.7939,1.1145,-4.6641,48.86,79.53,-163.72
107741,-0.8887,-0.2151,-0.1951,4.7863,10.7939,-5.3359,48.62,71.91,-132.21
108241,-0.9121,-0.1040,-0.1611,1.0382,7.0534,-10.7481,48.86,78.13,-147.16
108741,-0.9639,-0.0352,-0.1631,-2.0458,0.1756,-1.9389,48.86,80.18,-167.83
109241,-0.9500,-0.0359,-0.1582,-2.5878,2.4122,-1.7099,48.95,80.31,-167.22
109741,-0.9622,-0.0359,-0.1636,-2.2366,0.3130,-1.4427,48.72,80.13,-167.63
110241,-0.9641,-0.0286,-0.1541,-2.2366,1.5649,-1.1527,48.86,80.77,-169.50
110741,-0.9651,-0.0298,-0.1514,-2.1756,-0.3282,-1.6794,48.72,80.92,-168.87
111241,-0.9663,-0.0276,-0.1641,-2.3664,0.7481,-0.1908,48.95,80.23,-170.45
111741,-0.9595,-0.0298,-0.1538,-2.8855,1.1756,-0.9542,49.00,80.73,-169.04
112241,-0.9543,-0.0383,-0.1511,-2.4198,0.7099,-1.3740,49.14,80.72,-165.77
112741,-0.9563,-0.0298,-0.1597,-2.4275,0.5496,-0.9771,49.19,80.36,-169.43
113241,-0.9504,-0.0229,-0.1587,-2.5954,1.0916,-0.8550,48.95,80.42,-171.77
113741,-0.9802,-0.0342,-0.2014,1.4198,-1.9542,-0.1832,49.00,78.23,-170.37
